Fecha,Operador_logistíco,Sede,Nombre_Categoria,Nombre_Material,Cantidad_kg,Unnamed: 6,YEAR,MONTH
2016-07-28,Recuperar,Medellín,Papeles y Cartones,Archivo,741.0,0.0,2016,Jul
2016-07-28,Recuperar,Medellín,Papeles y Cartones,Cartón,581.0,0.0,2016,Jul
2016-07-28,Recuperar,Medellín,Papeles y Cartones,Periódico,131.0,0.0,2016,Jul
2016-07-28,Recuperar,Medellín,Papeles y Cartones,Plega,125.0,0.0,2016,Jul
2016-07-28,Recuperar,Medellín,Plásticos,Pasta,374.0,0.0,2016,Jul
2016-07-28,Recuperar,Medellín,Plásticos,Plega,88.0,0.0,2016,Jul
2016-07-28,Recuperar,Medellín,Plásticos,Plástico,112.0,0.0,2016,Jul
2016-07-28,Recuperar,Medellín,Vidrios,Vidrio,459.0,0.0,2016,Jul
2016-08-28,Recuperar,Medellín,Metales,Aluminio,4.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Metales,Chatarra,141.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Otros,Palos de Escoba,20.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1648.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1075.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Papeles y Cartones,Periódico,487.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Papeles y Cartones,Plega,162.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Plásticos,Pasta,1036.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Plásticos,Plega,293.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Plásticos,Plástico,419.0,0.0,2016,Ago
2016-08-28,Recuperar,Medellín,Vidrios,Vidrio,709.0,0.0,2016,Ago
2016-09-28,Recuperar,Medellín,Metales,Aluminio,20.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Metales,Chatarra,1721.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Otros,Palos de Escoba,78.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1053.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1358.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Papeles y Cartones,Periódico,946.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Papeles y Cartones,Plega,414.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Plásticos,Pasta,1250.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Plásticos,Plega,421.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Plásticos,Plástico,329.0,0.0,2016,Sept
2016-09-28,Recuperar,Medellín,Vidrios,Vidrio,1080.0,0.0,2016,Sept
2016-10-28,Recuperar,Medellín,Metales,Aluminio,50.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Metales,Chatarra,3217.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Otros,Palos de Escoba,64.0,0.0,2016,Oct
2016-10-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1280.0,0.0,2016,Oct
