Fecha,Nombre_Material,Cantidad_kg,Nombre_Categoria,Operador_logistíco,Sede
2016-10-28,Plástico,254,Plásticos,Recuperar,
2016-10-28,Periódico,790,Papeles y Cartones,Recuperar,
2016-10-28,Palos de Escoba,64,Otros,Recuperar,
2016-10-28,Vidrio,1007,Vidrios,Recuperar,
2016-10-28,Plega,388,Plásticos,Recuperar,
2016-10-28,Pasta,1053,Plásticos,Recuperar,
2016-10-28,Plega,132,Papeles y Cartones,Recuperar,
2016-10-28,Aluminio,50,Metales,Recuperar,
2016-10-28,Archivo,1280,Papeles y Cartones,Recuperar,
2016-10-28,Cartón,1006,Papeles y Cartones,Recuperar,
2016-10-28,Plega,285,Papeles y Cartones,Recuperar,
2016-11-28,Plega,39,Papeles y Cartones,Recuperar,
2016-11-28,Pasta,624,Plásticos,Recuperar,
2016-11-28,Chatarra,1428,Metales,Recuperar,
2016-11-28,Cartón,534,Papeles y Cartones,Recuperar,
2016-11-28,Palos de Escoba,0,Otros,Recuperar,
2016-11-28,Archivo,628,Papeles y Cartones,Recuperar,
2016-11-28,Plega,181,Plásticos,Recuperar,
2016-11-28,Vidrio,521,Vidrios,Recuperar,
2016-11-28,Periódico,412,Papeles y Cartones,Recuperar,
2016-11-28,Plega,171,Papeles y Cartones,Recuperar,
2016-11-28,Aluminio,8,Metales,Recuperar,
2016-11-28,Plástico,49,Plásticos,Recuperar,
2016-12-28,Plega,191,Papeles y Cartones,Recuperar,
2016-12-28,Aluminio,8,Metales,Recuperar,
2016-12-28,Archivo,679,Papeles y Cartones,Recuperar,
2016-12-28,Cartón,684,Papeles y Cartones,Recuperar,
2016-12-28,Periódico,279,Papeles y Cartones,Recuperar,
2016-12-28,Vidrio,423,Vidrios,Recuperar,
2016-12-28,Plástico,244,Plásticos,Recuperar,
2016-12-28,Pasta,683,Plásticos,Recuperar,
2016-12-28,Chatarra,43,Metales,Recuperar,
2016-12-28,Plega,253,Plásticos,Recuperar,
2016-12-28,Plega,97,Papeles y Cartones,Recuperar,
2016-12-28,Palos de Escoba,19,Otros,Recuperar,
2017-01-28,Periódico,152,Papeles y Cartones,Recuperar,
2017-01-28,Aluminio,12,Metales,Recuperar,
2017-01-28,Cartón,855,Papeles y Cartones,Recuperar,
2017-01-28,Archivo,1444,Papeles y Cartones,Recuperar,
2017-01-28,Plega,117,Plásticos,Recuperar,
2017-01-28,Plástico,130,Plásticos,Recuperar,
2017-01-28,Plega,32,Papeles y Cartones,Recuperar,
2017-01-28,Vidrio,1117,Vidrios,Recuperar,
2017-01-28,Plega,84,Papeles y Cartones,Recuperar,
2017-01-28,Polipropileno,0,Otros,Recuperar,
2017-01-28,Pasta,461,Plásticos,Recuperar,
2017-01-28,Palos de Escoba,0,Otros,Recuperar,
2017-01-28,Chatarra,4542,Metales,Recuperar,
2017-02-28,Periódico,437,Papeles y Cartones,Recuperar,
2017-02-28,Archivo,1511,Papeles y Cartones,Recuperar,
